name,release_year
Life of Pi,2012
Fantastic Mr. Fox,2009
C.R.A.Z.Y.,2005
Les choristes,2004
Iron Man,2008
Shaun of the Dead,2004
Gegen die Wand,2004
Mystic River,2003
Harry Potter and the Prisoner of Azkaban,2004
Ying xiong,2002
Hable con ella,2002
No Man's Land,2001
Cowboy Bebop: Tengoku no tobira,2001
The Bourne Identity,2002
Nueve reinas,2000
Children of Men,2006
Almost Famous,2000
Mulholland Dr.,2001
Toy Story 2,1999
Boogie Nights,1997
Mimi wo sumaseba,1995
Once Were Warriors,1994
True Romance,1993
Trois couleurs: Bleu,1993
Jûbê ninpûchô,1993
Carlito's Way,1993
Edward Scissorhands,1990
My Left Foot: The Story of Christy Brown,1989
Crimes and Misdemeanors,1989
The Untouchables,1987
Hannah and Her Sisters,1986
Brazil,1985
This Is Spinal Tap,1984
A Christmas Story,1983
The Blues Brothers,1980
Manhattan,1979
All That Jazz,1979
Dawn of the Dead,1978
All the President's Men,1976
La montaña sagrada,1973
Amarcord,1973
Le charme discret de la bourgeoisie,1972
"Aguirre, der Zorn Gottes",1972
Harold and Maude,1971
Patton,1970
The Wild Bunch,1969
Night of the Living Dead,1968
The Lion in Winter,1968
In the Heat of the Night,1967
Charade,1963
The Manchurian Candidate,1962
Spartacus,1960
L'avventura,1960
Hiroshima mon amour,1959
The Ten Commandments,1956
The Searchers,1956
East of Eden,1955
High Noon,1952
Strangers on a Train,1951
Harvey,1950
Miracle on 34th Street,1947
Notorious,1946
The Big Sleep,1946
The Lost Weekend,1945
The Philadelphia Story,1940
His Girl Friday,1940
The Adventures of Robin Hood,1938
A Night at the Opera,1935
King Kong,1933
Freaks,1932
Nosferatu,1922
The Gentlemen,2019
Raazi,2018
Sound of Metal,2019
Forushande,2016
Dunkirk,2017
Perfetti sconosciuti,2016
Hidden Figures,2016
Paddington 2,2017
Udta Punjab,2016
Kubo and the Two Strings,2016
M.S. Dhoni: The Untold Story,2016
Manchester by the Sea,2016
Under sandet,2015
Rogue One,2016
Captain America: Civil War,2016
The Hateful Eight,2015
Little Women,2019
Loving Vincent,2017
Pride,2014
Le passé,2013
La grande bellezza,2013
The Lunchbox,2013
Vicky Donor,2012
Big Hero 6,2014
About Time,2013
English Vinglish,2012
Kaze tachinu,2013
Toy Story 4,2019
La migliore offerta,2013
Moonrise Kingdom,2012
How to Train Your Dragon 2,2014
The Big Short,2015
Kokuhaku,2010
Ang-ma-reul bo-at-da,2010
The Girl with the Dragon Tattoo,2011
Captain Phillips,2013
Ajeossi,2010
Straight Outta Compton,2015
Madeo,2009
Chugyeokja,2008
The Hobbit: The Desolation of Smaug,2013
Das weiße Band - Eine deutsche Kindergeschichte,2009
Män som hatar kvinnor,2009
The Trial of the Chicago 7,2020
Druk,2020
The Fighter,2010
Taken,2008
The Boy in the Striped Pyjamas,2008
Once,2007
The Hobbit: An Unexpected Journey,2012
Auf der anderen Seite,2007
Atonement,2007
Drive,2011
American Gangster,2007
Avatar,2009
Mr. Nobody,2009
Apocalypto,2006
Little Miss Sunshine,2006
Hot Fuzz,2007
The Curious Case of Benjamin Button,2008
Veer-Zaara,2004
Adams æbler,2005
Pride & Prejudice,2005
The World's Fastest Indian,2005
Tôkyô goddofâzâzu,2003
Serenity,2005
Walk the Line,2005
Ondskan,2003
The Notebook,2004
Diarios de motocicleta,2004
Lilja 4-ever,2002
Les triplettes de Belleville,2003
Gongdong gyeongbi guyeok JSA,2000
The Count of Monte Cristo,2002
Waking Life,2001
Remember the Titans,2000
Wo hu cang long,2000
Todo sobre mi madre,1999
Cast Away,2000
The Boondock Saints,1999
The Insider,1999
October Sky,1999
Shrek,2001
Titanic,1997
Hana-bi,1997
Gattaca,1997
The Game,1997
Breaking the Waves,1996
Ed Wood,1994
What's Eating Gilbert Grape,1993
Tombstone,1993
The Sandlot,1993
The Remains of the Day,1993
Naked,1993
The Fugitive,1993
A Bronx Tale,1993
Batman: Mask of the Phantasm,1993
Lat sau san taam,1992
Night on Earth,1991
La double vie de Véronique,1991
Boyz n the Hood,1991
Misery,1990
Awakenings,1990
Majo no takkyûbin,1989
Glory,1989
Dip huet seung hung,1989
Back to the Future Part II,1989
Mississippi Burning,1988
Predator,1987
Evil Dead II,1987
Ferris Bueller's Day Off,1986
Down by Law,1986
The Goonies,1985
The Color Purple,1985
The Breakfast Club,1985
The Killing Fields,1984
Ghostbusters,1984
The Right Stuff,1983
The King of Comedy,1982
E.T. the Extra-Terrestrial,1982
Kramer vs. Kramer,1979
Days of Heaven,1978
The Outlaw Josey Wales,1976
The Man Who Would Be King,1975
The Conversation,1974
La planète sauvage,1973
The Day of the Jackal,1973
Badlands,1973
Cabaret,1972
Willy Wonka & the Chocolate Factory,1971
Midnight Cowboy,1969
Wait Until Dark,1967
Guess Who's Coming to Dinner,1967
Bonnie and Clyde,1967
My Fair Lady,1964
Mary Poppins,1964
The Longest Day,1962
Jules et Jim,1962
The Innocents,1961
À bout de souffle,1960
Red River,1948
Key Largo,1948
To Have and Have Not,1944
Shadow of a Doubt,1943
Stagecoach,1939
The Lady Vanishes,1938
Bringing Up Baby,1938
Bride of Frankenstein,1935
Duck Soup,1933
Scarface: The Shame of the Nation,1932
Frankenstein,1931
Roma,2018
God's Own Country,2017
Deadpool 2,2018
Wind River,2017
Get Out,2017
Mission: Impossible - Fallout,2018
En man som heter Ove,2015
What We Do in the Shadows,2014
Omoide no Mânî,2014
The Theory of Everything,2014
Kingsman: The Secret Service,2014
The Fault in Our Stars,2014
Me and Earl and the Dying Girl,2015
Birdman or (The Unexpected Virtue of Ignorance),2014
La vie d'Adèle,2013
Kai po che!,2013
The Broken Circle Breakdown,2012
Captain America: The Winter Soldier,2014
Rockstar,2011
Nebraska,2013
Wreck-It Ralph,2012
Le Petit Prince,2015
Detachment,2011
Midnight in Paris,2011
The Lego Movie,2014
Gravity,2013
Star Trek Into Darkness,2013
Beasts of No Nation,2015
The Social Network,2010
X: First Class,2011
The Hangover,2009
Skyfall,2012
Silver Linings Playbook,2012
Argo,2012
(500) Days of Summer,2009
Harry Potter and the Deathly Hallows: Part 1,2010
Gake no ue no Ponyo,2008
Frost/Nixon,2008
Papurika,2006
Changeling,2008
Flipped,2010
Toki o kakeru shôjo,2006
Death Note: Desu nôto,2006
This Is England,2006
Ex Machina,2014
Efter brylluppet,2006
The Last King of Scotland,2006
Zodiac,2007
Lucky Number Slevin,2006
Joyeux Noël,2005
Control,2007
Tangled,2010
Zwartboek,2006
Brokeback Mountain,2005
3:10 to Yuma,2007
Crash,2004
Kung fu,2004
The Bourne Supremacy,2004
The Machinist,2004
Ray,2004
Lost in Translation,2003
Harry Potter and the Goblet of Fire,2005
Man on Fire,2004
Coraline,2009
The Last Samurai,2003
The Magdalene Sisters,2002
Good Bye Lenin!,2003
In America,2002
I Am Sam,2001
Adaptation.,2002
Black Hawk Down,2001
Road to Perdition,2002
Das Experiment,2001
Billy Elliot,2000
Hedwig and the Angry Inch,2001
Ocean's Eleven,2001
Vampire Hunter D: Bloodlust,2000
"O Brother, Where Art Thou?",2000
Interstate 60: Episodes of the Road,2002
"South Park: Bigger, Longer & Uncut",1999
Office Space,1999
Happiness,1998
Training Day,2001
Rushmore,1998
Abre los ojos,1997
Being John Malkovich,1999
As Good as It Gets,1997
The Fifth Element,1997
Le dîner de cons,1998
Donnie Brasco,1997
Shine,1996
Primal Fear,1996
Hamlet,1996
A Little Princess,1995
Do lok tin si,1995
Il postino,1994
Clerks,1994
Short Cuts,1993
Philadelphia,1993
The Muppet Christmas Carol,1992
Malcolm X,1992
The Last of the Mohicans,1992
Kurenai no buta,1992
Glengarry Glen Ross,1992
A Few Good Men,1992
Fried Green Tomatoes,1991
Barton Fink,1991
Miller's Crossing,1990
Who Framed Roger Rabbit,1988
Spoorloos,1988
Withnail & I,1987
The Last Emperor,1987
Empire of the Sun,1987
Der Name der Rose,1986
Blue Velvet,1986
The Purple Rose of Cairo,1985
After Hours,1985
Zelig,1983
The Verdict,1982
Star Trek II: The Wrath of Khan,1982
First Blood,1982
Ordinary People,1980
Airplane!,1980
Rupan sansei: Kariosutoro no shiro,1979
Halloween,1978
Le locataire,1976
Love and Death,1975
The Taking of Pelham One Two Three,1974
Blazing Saddles,1974
Serpico,1973
Enter the Dragon,1973
Deliverance,1972
The French Connection,1971
Dirty Harry,1971
Where Eagles Dare,1968
The Odd Couple,1968
The Dirty Dozen,1967
Belle de jour,1967
A Man for All Seasons,1966
Repulsion,1965
Zulu,1964
Goldfinger,1964
The Birds,1963
Cape Fear,1962
Peeping Tom,1960
The Magnificent Seven,1960
Les yeux sans visage,1960
Invasion of the Body Snatchers,1956
Rebel Without a Cause,1955
The Ladykillers,1955
Sabrina,1954
The Quiet Man,1952
The Day the Earth Stood Still,1951
The African Queen,1951
Gilda,1946
Fantasia,1940
The Invisible Man,1933
Dark Waters,2019
Searching,2018
Once Upon a Time... in Hollywood,2019
Nelyubov,2017
The Florida Project,2017
Just Mercy,2019
Gifted,2017
The Peanut Butter Falcon,2019
Victoria,2015
Mustang,2015
Guardians of the Galaxy Vol. 2,2017
Baby Driver,2017
Only the Brave,2017
Bridge of Spies,2015
Incredibles 2,2018
Moana,2016
Sicario,2015
Creed,2015
Leviafan,2014
Hell or High Water,2016
Philomena,2013
Dawn of the Planet of the Apes,2014
El cuerpo,2012
Serbuan maut,2011
End of Watch,2012
Kari-gurashi no Arietti,2010
A Star Is Born,2018
True Grit,2010
Hævnen,2010
Despicable Me,2010
50/50,2011
Kick-Ass,2010
Celda 211,2009
Moneyball,2011
La piel que habito,2011
Zombieland,2009
Die Welle,2008
Sherlock Holmes,2009
The Blind Side,2009
The Visitor,2007
Seven Pounds,2008
Eastern Promises,2007
Stardust,2007
The Secret of Kells,2009
Inside Man,2006
Gone Baby Gone,2007
La Vie En Rose,2007
Huo Yuan Jia,2006
The Illusionist,2006
Dead Man's Shoes,2004
Harry Potter and the Half-Blood Prince,2009
300,2006
Match Point,2005
Watchmen,2009
Lord of War,2005
Saw,2004
"Synecdoche, New York",2008
Mysterious Skin,2004
Jeux d'enfants,2003
Un long dimanche de fiançailles,2004
The Station Agent,2003
21 Grams,2003
Boksuneun naui geot,2002
Finding Neverland,2004
25th Hour,2002
The Butterfly Effect,2004
28 Days Later...,2002
Batoru rowaiaru,2000
The Royal Tenenbaums,2001
Y tu mamá también,2001
Harry Potter and the Sorcerer's Stone,2001
The Others,2001
Blow,2001
Enemy at the Gates,2001
Minority Report,2002
The Hurricane,1999
American Psycho,2000
Lola rennt,1998
The Thin Red Line,1998
Mulan,1998
Fear and Loathing in Las Vegas,1998
Funny Games,1997
Dark City,1998
Sleepers,1996
Lost Highway,1997
Sense and Sensibility,1995
Die Hard: With a Vengeance,1995
Dead Man,1995
The Bridges of Madison County,1995
Apollo 13,1995
Trois couleurs: Blanc,1994
Falling Down,1993
Dazed and Confused,1993
My Cousin Vinny,1992
Omohide poro poro,1991
Delicatessen,1991
Home Alone,1990
The Godfather: Part III,1990
When Harry Met Sally...,1989
The Little Mermaid,1989
The Naked Gun: From the Files of Police Squad!,1988
"Planes, Trains & Automobiles",1987
Lethal Weapon,1987
Blood Simple,1984
On Golden Pond,1981
Mad Max 2,1981
The Warriors,1979
The Muppet Movie,1979
Escape from Alcatraz,1979
Watership Down,1978
Midnight Express,1978
Close Encounters of the Third Kind,1977
The Long Goodbye,1973
Giù la testa,1971
Kelly's Heroes,1970
The Jungle Book,1967
Blowup,1966
A Hard Day's Night,1964
Breakfast at Tiffany's,1961
Giant,1956
From Here to Eternity,1953
Lifeboat,1944
The 39 Steps,1935
Ghosts of Mars,2001
Getting Away with Murder: The JonBenét Ramsey Mystery,2000
Brun bitter,1988
White Of The Eye,1987
A Woman in Flames,1983
The Gangsters,1913
The Sorcerer's Apprentice,2002
Alexander's Ragtime Band,1938
Contigo y aquí,1974
City of the Dead,1960
Sarah and Son,1930
Lady Snowblood 2: Love Song of Vengeance,1974
Little city,1997
Henry V,1989
Aaah Belinda,1986
The Mechanical Monsters,
1919,1984
Die Fahne von Kriwoj Rog,1967
Keep the Change,1992
The Devil's Holiday,1930
New Rose Hotel,1999
White on Rice,2009
Freddy and the Song of the South Pacific,1962
Road to Life,1931
Camera Thrills,1935
"Ferdinando I, re di Napoli",1959
Anbu Thozhi,2007
Middle Age Spread,1979
Baby Boy,2001
Bindiya Chamkegi,1984
Vandanam,1989
Emilia Galotti,1958
Special Effects,1984
El Misterioso señor Marquina,1943
Anokha Rishta,1986
They Knew What They Wanted,1940
Karayilekku Oru Kadal Dooram,2010
Siam Sunset,1999
Kausthubham,2010
Cuando los duendes cazan perdices,1955
Archie: To Riverdale and Back Again,1990
Vinayaka Geleyara Balaga,2011
Mysterious Island,1982
Woman Hungry,1930
Electric Apricot: Quest For Festeroo,2006
Troops,1997
Daddy and Them,2001
The Sky Pirate,1914
The Gods Must Be Crazy,1980
Behind The Player: John 5,2008
Joan the Woman,1917
Follow the Crowd,1918
Rudo y Cursi,2008
Kinjite: Forbidden Subjects,1989
Jay Vejay,1977
My Name is Fame,2006
Innocence,1997
Hamsun,1996
Libertad bajo palabra,1961
The Great New Wonderful,2006
Loverboy,1989
Cally's Comet,1911
I Fidanzati,1962
Chandra Mukhi,1993
Juarez,1939
Mesmerized,1986
Klingende toner,1945
Soldat und Sportler,1959
Chasing Ghosts: Beyond the Arcade,2007
Bruce Lee: The Lost Interview,1994
It Came Upon the Midnight Clear,1984
Vipers,2008
Ivar,2003
Boadicea,
The Human Tornado,1976
Vent'anni,1949
Shivers,1975
Adventurer's Fate,1958
Zindagi,1976
My Friend Ganesha,2007
Les Indiens sont encore loin,
The Tango Player,1991
Terrorama,2001
One Small Step: The Story of the Space Chimps,1995
The Covered Wagon,1923
Sombra Verde,1954
Aaj Ka Andha Kanoon,2003
The Little Hut,1957
Nariman,2001
A Romance of Wastdale,1921
Aftershock: Beyond the Civil War,2007
Drums in the Deep South,1951
Vixen!,1968
Right to Love,1920
The Thirteen Chairs,1969
ZA: Zombies Anonymous,2005
Youth Sports Festival,1951
Closing the Ring,2007
The Boston Strangler,1968
Neela Ponman,1975
Deadly Voyage,1996
The Hero: Love Story of a Spy,2003
Donald's Crime,
33 Scenes from Life,2008
The Pine's Revenge,1915
Hermanas,2005
The High Cost of Living,2011
The World of Geisha,1973
The House That Drips Blood on Alex,2010
One Six Right,2005
Raampur Ka Lakshman,1972
Choke Canyon,1986
Dig That Uranium,1956
Banana Club,1996
ChromeSkull: Laid to Rest 2,2011
Desperate,1947
The Iron Maiden,1963
Mighty Times: The Children's March,2004
Lee Dae-ro Can't Die,2005
The Last Trackers of the Outback,
Alien Express,2005
...And Justice for All,1979
Children of Glory,2006
The Naked Kitchen,2009
The Final Impulse,1914
Star!,1968
1 a Minute,2010
Mighty Mouse in the Great Space Chase,
Ethe Naasaval,
The Pagan,1929
The Great Santini,1979
Beachhead,1954
Great West End Theatres,2012
Carmen,2003
A Zed & Two Noughts,1985
Made Men,1999
Is There a Doctor in the Mouse?,
The Bigamist,1956
Peddarayudu,
Things to Do in Denver When You're Dead,1995
Minsaara Kanavu,1997
Convoy,1978
The Bridge,2006
The Bridge,2006
The Castle,1968
SpongeBob vs. The Big One,2009
14 Going on 30,
Swati,1986
The Net,2003
Grampy's Indoor Outing,1936
Grand Canary,1934
C.H.U.D.,1984
Sons of Cuba,
Mehndi Waley Hath,2000
Garryowen,1920
Zum Teufel mit der Penne,1968
Good Morning Miss Dove,1955
Emperor of the Bronx,1988
White Nights,1916
A Boy Named Sue,2000
Broken Chains,
The King of the Kitchen,1918
Mud and Soldiers,1939
Las Boludas,1993
"Black Cat, White Cat",1998
La Delatora,1955
La Marseillaise,1938
The Seventh Bandit,1926
The Insurgents,2007
Nudist Colony of the Dead,1991
